,E,HIso,HeIso,sigmaMF,sigmaModMF,sigmaR2,sigmaHFD_B
0,3.6227699051683853e-06,H,3He,0.0238863421516401,3.6324379959654776e-05,0.15167923148208698,0.004876128956244521
1,4.342831738421415e-06,H,3He,0.02388830063744928,3.624657318897708e-05,0.15168400525953182,0.004877019676843273
2,5.206013078924412e-06,H,3He,0.023890648495035215,3.615346052259035e-05,0.15168972872342798,0.0048780875856212665
3,6.240760363371484e-06,H,3He,0.023893463173326464,3.604207036321329e-05,0.15169658954783644,0.004879367968754233
4,7.481174042896418e-06,H,3He,0.023896837609065438,3.5908867570207836e-05,0.151704813917508,0.00488090315041982
5,8.968132375118345e-06,H,3He,0.02390088309323316,3.574966305004419e-05,0.1517146730746983,0.004882743910173784
6,1.0750638581121347e-05,H,3He,0.02390573309856959,3.555949419704608e-05,0.15172649312547326,0.0048849511792960565
7,1.2887435763387655e-05,H,3He,0.02391154769214612,3.533250014533036e-05,0.15174066326046726,0.004887598084627411
8,1.5448942804857973e-05,H,3He,0.023918518868473255,3.5061791076988626e-05,0.1517576509691334,0.00489077240884196
9,1.851957504733548e-05,H,3He,0.02392687676631295,3.4739289483294283e-05,0.15177801610115443,0.00489457955937685
10,2.2200526227985094e-05,H,3He,0.023936897431434293,3.4355578858817906e-05,0.15180243201683638,0.004899146144695245
11,2.661310335359801e-05,H,3He,0.023948911576193097,3.389975770485634e-05,0.1518317028647679,0.004904624294760784
12,3.190272441454515e-05,H,3He,0.02396331604312614,3.335930812120099e-05,0.15186679729147384,0.004911196903560629
13,3.824371068445175e-05,H,3He,0.02398058622627294,3.272001634753888e-05,0.15190887375777187,0.004919083950588034
14,4.584503153747037e-05,H,3He,0.024001291880677955,3.1965980524281455e-05,0.151959322795439,0.00492855021233834
15,5.4957191105572863e-05,H,3He,0.024026115440657997,3.10797695185723e-05,0.15201980925967737,0.004939914615789805
16,6.588048372801077e-05,H,3He,0.024055874158747995,3.004283662385919e-05,0.1520923522465474,0.00495356167479823
17,7.897489025410862e-05,H,3He,0.024091546246091052,2.883631177095461e-05,0.15217933090756475,0.004969955472750429
18,9.467194133543785e-05,H,3He,0.02413430217927598,2.744240380105937e-05,0.15228363693156435,0.004989656839732882
19,0.00011348893866622744,H,3He,0.024185543545819983,2.5846714650756978e-05,0.15240873092183976,0.005013344537867023
20,0.00013604600283786055,H,3He,0.02424695158311623,2.404192290400246e-05,0.1525587666599812,0.005041841501579371
21,0.00016308650962533857,H,3He,0.024321355285738675,2.2033498569615857e-05,0.1527387360197661,0.005076147516840865
22,0.0001955015881905341,H,3He,0.02441011046271167,1.984841321182444e-05,0.15295463044199958,0.005117480144218059
23,0.00023435948854890962,H,3He,0.02451665148448891,1.7548234492604437e-05,0.15321365549912608,0.005167326317955011
24,0.000280940786114626,H,3He,0.02464457600999774,1.524860413799086e-05,0.15352482557227254,0.005227507868043352
25,0.00033678058350188,H,3He,0.024798223771836984,1.314797061091564e-05,0.15389818933966698,0.005300265368800495
26,0.000403719100357291,H,3He,0.02498283520105546,1.1569671469314923e-05,0.15434655379886275,0.005388366298316097
27,0.0004839623184285809,H,3He,0.02520474678605276,1.102320666422849e-05,0.1548851919826254,0.0054952456622327185
28,0.0005801546804485677,H,3He,0.02547163167110569,1.1573970856130946e-05,0.15553110718477609,0.0056251901230032235
29,0.0006954662386510765,H,3He,0.02579279765680431,1.7737794954024232e-05,0.15630881837886063,0.005783580803753337
30,0.0008336971249279699,H,3He,0.026180184807407216,2.9411764337705253e-05,0.15724395391673626,0.005977215395169068
31,0.0009994027854770939,H,3He,0.026646809663148713,4.895309580527444e-05,0.15836935844354122,0.006215360447011071
32,0.001198044107091852,H,3He,0.027210002258851694,8.020054699993882e-05,0.1597258860486305,0.006508109323601531
33,0.0014361673825556995,H,3He,0.027890601634844362,0.00012903614861063984,0.16136048874705275,0.006870194751783431
34,0.0017216200459627613,H,3He,0.02871427908701216,0.00020375080851008372,0.1633332276685033,0.007320222556593992
35,0.0020638092875959503,H,3He,0.029714298124937467,0.0003163518131835649,0.16571704674879809,0.007882570343667922
36,0.0024740120711044702,H,3He,0.030928608850323627,0.0004835130238274549,0.16860184941132683,0.0085894155079833
37,0.0029657467697029477,H,3He,0.035434708369742794,0.0007310226075246353,0.17209889665679162,0.009483532956120385
38,0.0035552186687904178,H,3He,0.036098220552147856,0.0010912992064629002,0.17634631906433734,0.010622162702689793
39,0.0042618540166805665,H,3He,0.036434041757040916,0.001614003589554009,0.18151721266335671,0.012079991052500657
40,0.00510894022326789,H,3He,0.03916593211015101,0.002367841700581797,0.18782891102386023,0.013967423913999785
41,0.006124393304596119,H,3He,0.04402992952311283,0.0034492569530480905,0.19555611810363654,0.016424925018742743
42,0.00734167786472749,H,3He,0.048963084468396784,0.005291251102225279,0.2050585957972349,0.01964856573374354
43,0.008800909933230376,H,3He,0.05524779158874481,0.007723239241652334,0.21676803845401935,0.023919730141046657
44,0.010550179002672452,H,3He,0.06330685180941432,0.011384305243127762,0.23123079210069805,0.029594449154561716
45,0.012647132834317702,H,3He,0.0739070333020468,0.016393555327767186,0.2492539438457693,0.03742218942761707
46,0.015160877259841776,H,3He,0.08742678674913096,0.023538669610822464,0.2717795720534991,0.04765077191459336
47,0.018174253587681845,H,3He,0.10508727782946008,0.03369709770428452,0.3002250757502779,0.06146196211329763
48,0.021786568666727252,H,3He,0.12828230250106443,0.04809259829121095,0.33620768668681983,0.08019993204551665
49,0.02611686757753466,H,3He,0.15998096180702517,0.06841868604322196,0.38145086481783114,0.10565212544250349
50,0.03130785680372791,H,3He,0.2010909360825158,0.09778278617245172,0.439009722907345,0.1402216656259718
51,0.037530607173039035,H,3He,0.2550350592544683,0.13770395611542707,0.5119896641222959,0.1876752663893808
52,0.04499019155502361,H,3He,0.3284226922213556,0.19462587808750548,0.6072745009258146,0.25096346078732373
53,0.05393244310770938,H,3He,0.4253855595611392,0.27351800651774244,0.7285029294232029,0.33660305439668786
54,0.06465205679351049,H,3He,0.5536622704020846,0.38119853541940385,0.8844828147059837,0.4532514533846273
55,0.07750230115264002,H,3He,0.7230550642403187,0.5212930131898053,1.0849622124347502,0.6093681380949372
56,0.09290666038883737,H,3He,0.9458140385954084,0.7174293980829183,1.3416142283347579,0.8171643388332095
57,0.11137279043633574,H,3He,1.2371904107073293,0.9799137927728337,1.6714347774353255,1.0918182785805028
58,0.13350924893503416,H,3He,1.6144712965056511,1.3264686026953227,2.0902041312140547,1.4514083436210152
59,0.1600455504559356,H,3He,2.0976240368938845,1.7801931716325308,2.616905507639005,1.9200348482641898
60,0.1918562079036751,H,3He,2.7142053459345457,2.3657530871172914,3.2801582879692046,2.5201939990406172
61,0.22998955238879043,H,3He,3.490934257639463,3.1213585940468866,4.102940312062064,3.2797341587667033
62,0.27570228133849695,H,3He,4.456974613174759,4.057177146611966,5.116484781642943,4.230290386517128
63,0.33050087339078826,H,3He,5.638515557431117,5.209464542495699,6.344362729742125,5.3998284505033896
64,0.396191234913883,H,3He,7.0553242234409215,6.606869449052565,7.805078625253695,6.808527068568958
65,0.4749382142690658,H,3He,8.71940220513397,8.251783334366468,9.506349786777433,8.468455484454395
66,0.5693369451298401,H,3He,10.622616294883308,10.14444300537334,11.441640297081515,10.37154798980983
67,0.6824983700009065,H,3He,12.738394066997781,12.26208628264806,13.577362356700874,12.491614563509591
68,0.8181517623938234,H,3He,15.007847792402337,14.530728596969825,15.857236818084521,14.769082710925268
69,0.9807676263127636,H,3He,17.346859350141553,16.881876444602884,18.20130366074999,17.12287149931642
70,1.175705023245006,H,3He,19.66142895410871,19.212246774648182,20.51469316330017,19.455967897488758
71,1.409388181867592,H,3He,21.862341435156132,21.431889117944348,22.713682101998494,21.67869679977949
72,1.6895182107035145,H,3He,23.890501992541417,23.473843014020122,24.73695140549421,23.723910620930816
73,2.0253268907905286,H,3He,25.73915940270742,25.326804947356237,26.577238192998248,25.578736458273237
74,2.4278809121869003,H,3He,27.4220993519147,27.014017451813668,28.262956991462886,27.270437352831593
75,2.910446580532337,H,3He,29.000385033735128,28.594125291152803,29.851837137320096,28.856899356342964
76,3.488927012693738,H,3He,30.519815350365636,30.11456734507206,31.38522112104534,30.38225040967007
77,4.18238622942793,H,3He,31.98359241668995,31.57773955778437,32.8653360742515,31.85232385866473
78,5.01367741671467,H,3He,33.35911315582146,32.95942445942246,34.24720202009502,33.23549445924792
79,6.010196060327253,H,3He,34.615273471484755,34.21469599575631,35.51045803067048,34.49439154708186
80,7.204782773448418,H,3He,35.739741946363,35.34216984754502,36.650810868097544,35.62485459216312
81,8.636805570324883,H,3He,36.75817807571453,36.3600724782116,37.69204494097162,36.64660031664327
82,10.353457252659387,H,3He,37.68081383992667,37.28396106386349,38.6418170655476,37.57418422140096
83,12.411310664553149,H,3He,38.49908185812431,38.11057962396358,39.50122361068039,38.40344872777426
84,14.878183069957991,H,3He,39.22813697999362,38.83477845637943,40.255106288227466,39.131180605446396
