,E,HIso,HeIso,sigmaR2
0,3.6227699051683853e-06,H,3He,3.8954100384345764e-08
1,4.342831738421415e-06,H,3He,3.895532638083838e-08
2,5.206013078924412e-06,H,3He,3.8956796274804604e-08
3,6.240760363371484e-06,H,3He,3.8958558264499e-08
4,7.481174042896418e-06,H,3He,3.896067043845092e-08
5,8.968132375118345e-06,H,3He,3.8963202456810613e-08
6,1.0750638581121347e-05,H,3He,3.8966238069794254e-08
7,1.2887435763387655e-05,H,3He,3.896987722893043e-08
8,1.5448942804857973e-05,H,3He,3.897423999436783e-08
9,1.851957504733548e-05,H,3He,3.897947014611198e-08
10,2.2200526227985094e-05,H,3He,3.898574061584707e-08
11,2.661310335359801e-05,H,3He,3.8993257924166206e-08
12,3.190272441454515e-05,H,3He,3.9002271046033e-08
13,3.824371068445175e-05,H,3He,3.901307693877418e-08
14,4.584503153747037e-05,H,3He,3.90260331402708e-08
15,5.4957191105572863e-05,H,3He,3.904156743667502e-08
16,6.588048372801077e-05,H,3He,3.906019762371337e-08
17,7.897489025410862e-05,H,3He,3.908253539177469e-08
18,9.467194133543785e-05,H,3He,3.910932315493693e-08
19,0.00011348893866622744,H,3He,3.914144966169103e-08
20,0.00013604600283786055,H,3He,3.91799816818476e-08
21,0.00016308650962533857,H,3He,3.922620122316952e-08
22,0.0001955015881905341,H,3He,3.928164700116715e-08
23,0.00023435948854890962,H,3He,3.9348169543372007e-08
24,0.000280940786114626,H,3He,3.942808391363556e-08
25,0.00033678058350188,H,3He,3.9523970802911584e-08
26,0.000403719100357291,H,3He,3.963911929082249e-08
27,0.0004839623184285809,H,3He,3.977745184505107e-08
28,0.0005801546804485677,H,3He,3.994333504306893e-08
29,0.0006954662386510765,H,3He,4.0143066012391985e-08
30,0.0008336971249279699,H,3He,4.03832265357131e-08
31,0.0009994027854770939,H,3He,4.067225174029646e-08
32,0.001198044107091852,H,3He,4.102063373027921e-08
33,0.0014361673825556995,H,3He,4.1440430672686466e-08
34,0.0017216200459627613,H,3He,4.194706740355207e-08
35,0.0020638092875959503,H,3He,4.255927730760138e-08
36,0.0024740120711044702,H,3He,4.330014928728598e-08
37,0.0029657467697029477,H,3He,4.4198257275555444e-08
38,0.0035552186687904178,H,3He,4.528907582217891e-08
39,0.0042618540166805665,H,3He,4.661705926701038e-08
40,0.00510894022326789,H,3He,4.823802298846622e-08
41,0.006124393304596119,H,3He,5.022251616749305e-08
42,0.00734167786472749,H,3He,5.266293247471934e-08
43,0.008800909933230376,H,3He,5.567013919801416e-08
44,0.010550179002672452,H,3He,5.938444834801334e-08
45,0.012647132834317702,H,3He,6.401313518593908e-08
46,0.015160877259841776,H,3He,6.979814328395271e-08
47,0.018174253587681845,H,3He,7.710348756649188e-08
48,0.021786568666727252,H,3He,8.634450378845884e-08
49,0.02611686757753466,H,3He,9.7963809116241e-08
50,0.03130785680372791,H,3He,1.1274601439325039e-07
51,0.037530607173039035,H,3He,1.3148864598725727e-07
52,0.04499019155502361,H,3He,1.5595959735286265e-07
53,0.05393244310770938,H,3He,1.8709335461437055e-07
54,0.06465205679351049,H,3He,2.2715194419613816e-07
55,0.07750230115264002,H,3He,2.7863885191452366e-07
56,0.09290666038883737,H,3He,3.4455195196773756e-07
57,0.11137279043633574,H,3He,4.2925611812446235e-07
58,0.13350924893503416,H,3He,5.36804022248109e-07
59,0.1600455504559356,H,3He,6.720709146850373e-07
60,0.1918562079036751,H,3He,8.424067947706212e-07
61,0.22998955238879043,H,3He,1.0537128071216508e-06
62,0.27570228133849695,H,3He,1.314010229695744e-06
63,0.33050087339078826,H,3He,1.6293525503408374e-06
64,0.396191234913883,H,3He,2.004492066513776e-06
65,0.4749382142690658,H,3He,2.4414107332498488e-06
66,0.5693369451298401,H,3He,2.9384300034953324e-06
67,0.6824983700009065,H,3He,3.4869238921481785e-06
68,0.8181517623938234,H,3He,4.072438848730847e-06
69,0.9807676263127636,H,3He,4.674439624982861e-06
70,1.175705023245006,H,3He,5.268561879103013e-06
71,1.409388181867592,H,3He,5.833303900934678e-06
72,1.6895182107035145,H,3He,6.352917791293504e-06
73,2.0253268907905286,H,3He,6.825538304701841e-06
74,2.4278809121869003,H,3He,7.2584628300540145e-06
75,2.910446580532337,H,3He,7.666517354695582e-06
76,3.488927012693738,H,3He,8.060319413333384e-06
77,4.18238622942793,H,3He,8.440440976072795e-06
78,5.01367741671467,H,3He,8.795330331898982e-06
79,6.010196060327253,H,3He,9.119758409272934e-06
80,7.204782773448418,H,3He,9.412622623189662e-06
81,8.636805570324883,H,3He,9.680031260477673e-06
82,10.353457252659387,H,3He,9.923950736674434e-06
83,12.411310664553149,H,3He,1.0144662619922718e-05
84,14.878183069957991,H,3He,1.0338273974697196e-05
85,17.83537109383559,H,3He,1.0506526555827551e-05
86,21.380329880275124,H,3He,1.0652077875526105e-05
87,25.629884760142616,H,3He,1.0773597466890176e-05
88,30.724081269869444,H,3He,1.0874348774083281e-05
89,36.83080040006742,H,3He,1.0953668281156443e-05
90,44.151291171069424,H,3He,1.100968491383407e-05
91,52.92680286331722,H,3He,1.1042147243523122e-05
92,63.44653547002013,H,3He,1.1048645690826351e-05
93,76.05717038197504,H,3He,1.1027686382878602e-05
94,91.17429539152972,H,3He,1.0977035971103471e-05
95,109.2961005306079,H,3He,1.090514620445228e-05
96,131.01979609382886,H,3He,1.0836311741102453e-05
97,157.0612939082959,H,3He,1.0792323714845278e-05
98,188.27880045304119,H,3He,1.0734382819091657e-05
99,225.70109934745543,H,3He,1.0510599235226082e-05
100,3.6227699051683853e-06,H,4He,3.216144356771308e-08
101,4.342831738421415e-06,H,4He,3.2160154508199924e-08
102,5.206013078924412e-06,H,4He,3.2158609109148826e-08
103,6.240760363371484e-06,H,4He,3.2156756755741685e-08
104,7.481174042896418e-06,H,4He,3.2154536317579476e-08
105,8.968132375118345e-06,H,4He,3.215187474425678e-08
106,1.0750638581121347e-05,H,4He,3.214868435457664e-08
107,1.2887435763387655e-05,H,4He,3.214486016995121e-08
108,1.5448942804857973e-05,H,4He,3.2140276193053947e-08
109,1.851957504733548e-05,H,4He,3.2134781663283307e-08
110,2.2200526227985094e-05,H,4He,3.2128195859726736e-08
111,2.661310335359801e-05,H,4He,3.2120302195061883e-08
112,3.190272441454515e-05,H,4He,3.211084462042258e-08
113,3.824371068445175e-05,H,4He,3.209950797418168e-08
114,4.584503153747037e-05,H,4He,3.208592207317918e-08
115,5.4957191105572863e-05,H,4He,3.206964194328962e-08
116,6.588048372801077e-05,H,4He,3.205013452395363e-08
117,7.897489025410862e-05,H,4He,3.202676229286117e-08
118,9.467194133543785e-05,H,4He,3.1998762178535564e-08
119,0.00011348893866622744,H,4He,3.196522228727801e-08
120,0.00013604600283786055,H,4He,3.192505277460043e-08
121,0.00016308650962533857,H,4He,3.18769515026319e-08
122,0.0001955015881905341,H,4He,3.181936521085125e-08
123,0.00023435948854890962,H,4He,3.1750441007188174e-08
124,0.000280940786114626,H,4He,3.166798061597576e-08
125,0.00033678058350188,H,4He,3.156934617451742e-08
