R,SCF,Intra,Inter,Total,Bsse,DFit
2,70043.76,3064.51,-10307.18,62801.09,-18.88,-40.38
2.25,48559.99,2332.66,-7947.27,42965.38,-17.16,21.56
2.5,33307.96,1724.89,-5930.61,29102.24,-15.23,23.22
2.75,22615.55,1235.3,-4360.44,19490.41,-13.1,9.77
3,15211.67,873.52,-3190.41,12894.78,-11.02,-1.45
3.5,6709.63,426.87,-1712.95,5423.55,-7.81,-7.21
4,2873.81,203.29,-931.22,2145.88,-5.74,3.51
4.5,1201.04,94.31,-513.06,782.29,-4.16,-0.72
5,491.84,42.59,-286.65,247.78,-2.91,0.13
5.5,198.09,18.77,-162.94,53.92,-2.02,0.14
6,78.71,8.1,-94.64,-7.83,-1.35,0.01
6.5,30.93,3.43,-56.38,-22.02,-0.86,-0.07
6.75,19.32,2.2,-43.96,-22.44,-0.68,-0.07
7,12.04,1.43,-34.55,-21.08,-0.55,-0.08
7.5,4.65,0.59,-21.81,-16.57,-0.39,-0.06
8,1.79,0.23,-14.19,-12.17,-0.29,-0.03
9,0.26,0.03,-6.53,-6.24,-0.18,0.01
10,0.04,0,-3.31,-3.27,-0.1,0.02
11,0,0.01,-1.81,-1.8,-0.05,0.01
12,0,0,-1.05,-1.05,-0.02,0.01
13,0,0,-0.64,-0.64,-0.01,0.01
14,0,0,-0.41,-0.41,0,0.01
15,0,0,-0.26,-0.26,0,0
